City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,waitangi,-43.9535,-176.5597,8.79,94,91,0.45,NZ,1722879233
63,prince rupert,54.3161,-130.3201,14.83,96,100,2.06,CA,1722879235
64,ribeira grande,38.5167,-28.7,27.22,78,20,5.14,PT,1722879236
65,uturoa,-16.7333,-151.4333,26.09,71,100,5.18,PF,1722879237
66,ciudad melchor muzquiz,27.8833,-101.5167,32.14,40,8,3.63,MX,1722879001
67,grytviken,-54.2811,-36.5092,-6.87,77,100,4.27,GS,1722879239
68,pisco,-13.7,-76.2167,19.03,68,20,3.09,PE,1722879240
69,lerwick,60.1545,-1.1494,15.0,95,100,3.71,GB,1722879242
70,whitehorse,60.7161,-135.0538,18.39,48,0,3.09,CA,1722879229
71,enewetak,11.3474,162.3373,28.57,75,99,2.74,MH,1722879244
72,constantia,44.1833,28.65,26.5,59,94,5.88,RO,1722879245
73,egilsstadir,65.2653,-14.3948,11.95,82,75,6.17,IS,1722879246
74,hawaiian paradise park,19.5933,-154.9731,22.63,92,100,3.09,US,1722879248
75,fale old settlement,-9.3852,-171.2468,27.22,82,100,5.04,TK,1722879249
76,new norfolk,-42.7826,147.0587,10.51,80,100,2.27,AU,1722879250
77,geraldton,-28.7667,114.6,9.23,93,12,5.14,AU,1722879251
78,san felipe,10.3399,-68.7425,33.69,39,100,1.6,VE,1722879252
